,LotArea,1stFlrSF,2ndFlrSF,GrLivArea,OpenPorchSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageArea,Street,SalePrice
38,2544,600,600,1200,172,2,1,2,1,4,2004,2005,480.0,Pave,146991.630153739
39,2544,600,636,1236,166,2,1,2,1,4,2005,2005,480.0,Pave,150306.307814534
40,2980,756,756,1512,32,2,1,2,1,5,2000,2000,440.0,Pave,151164.372534604
41,2403,530,550,1080,50,2,1,2,1,4,2003,2003,496.0,Pave,151133.706960953
42,12853,1418,0,1418,192,1,1,1,1,6,2010,2010,852.0,Pave,156214.042540726
43,7379,975,873,1848,184,2,1,3,1,7,2000,2000,592.0,Pave,171992.760735142
44,8000,1492,0,1492,137,2,0,3,1,6,2002,2002,596.0,Pave,173214.912549738
45,10456,1829,0,1829,76,2,0,4,1,8,1967,1967,535.0,Pave,192429.187345783
46,10791,1280,1215,2495,32,2,1,4,1,9,1993,1993,660.0,Pave,190878.69508543
47,18837,1287,604,1891,69,3,0,3,1,7,1978,1978,678.0,Pave,194542.544135519
48,9600,930,715,1645,78,1,2,4,1,7,1971,1971,441.0,Pave,191849.439072822
49,9600,1232,0,1232,224,1,1,3,1,6,1966,1966,490.0,Pave,176363.773907793
50,9900,1209,0,1209,0,1,0,3,1,6,1966,1966,504.0,Pave,176954.185412429
51,9680,1510,0,1510,40,2,0,3,1,6,1967,1967,517.0,Pave,176521.216975696
52,10600,1131,644,1775,172,2,0,3,1,8,1964,1964,480.0,Pave,179436.704810176
53,13260,1728,0,1728,0,2,0,6,2,10,1962,2001,0.0,Pave,220079.756777048
54,9724,1929,532,2461,0,2,0,3,1,7,1952,2002,400.0,Pave,175502.918109444
55,17360,1019,537,1556,0,2,0,3,1,6,1949,1950,470.0,Pave,188321.073833569
56,11380,1128,0,1128,0,1,0,2,1,5,1966,2008,315.0,Pave,163276.324450004
57,8267,1604,0,1604,0,2,0,4,2,8,1958,1958,576.0,Pave,185911.366293097
58,8197,1480,0,1480,73,2,0,3,1,7,2003,2009,620.0,Pave,171392.830997252
59,8050,1143,0,1143,0,1,0,3,1,6,1959,1959,308.0,Pave,174418.207020775
60,10725,1206,0,1206,21,1,0,3,1,6,1959,1959,312.0,Pave,179682.709603774
61,10032,1580,0,1580,28,1,1,3,1,6,1959,1959,440.0,Pave,179423.751581665
62,8382,832,505,1337,0,1,0,3,1,5,1956,1956,263.0,Pave,171756.918091777
63,10950,1064,0,1064,0,1,0,2,1,4,1952,1952,318.0,Pave,166849.638174419
64,10895,972,0,972,0,1,0,3,1,5,1955,1955,305.0,Pave,181122.168676666
65,13587,988,0,988,0,1,0,2,1,5,1958,1958,264.0,Pave,170934.462746566
66,7898,985,0,985,0,1,0,2,1,4,1920,1994,676.0,Pave,159738.292580329
67,8064,816,408,1224,0,1,0,3,1,5,1948,2004,280.0,Pave,174445.759557658
68,7635,1175,0,1175,0,1,1,3,1,6,1960,1960,484.0,Pave,174706.363659627
69,9760,1395,0,1395,0,1,0,2,1,7,1963,1984,440.0,Pave,164507.672539365
70,4800,1157,687,1844,0,1,0,3,1,9,1900,1954,240.0,Pave,163602.512172832
71,4485,936,0,936,0,1,0,2,1,5,1920,1950,0.0,Pave,154126.270249525
72,5805,1347,0,1347,0,1,0,3,1,6,1957,1957,551.0,Pave,171104.853481351
73,6900,827,424,1251,0,1,0,3,1,6,1938,2000,240.0,Pave,167735.39270528
74,11851,1027,606,1633,100,1,0,3,1,7,1948,2009,240.0,Pave,183003.613338104
75,8239,1060,185,1245,0,1,0,3,1,6,1920,1962,315.0,Pave,172580.381161499
76,9656,832,0,832,0,1,0,2,1,5,1923,1970,780.0,Pave,165407.889104689
77,9600,930,636,1566,228,2,0,3,1,7,1900,2003,288.0,Pave,176363.773907793
78,9000,1157,1111,2268,108,3,0,3,1,7,1890,2002,624.0,Pave,175182.950898522
79,9045,1128,1128,2256,18,2,0,4,2,12,1910,1950,0.0,Pave,190757.177789246
80,10560,868,602,1470,0,1,1,2,1,6,1922,1994,624.0,Pave,167186.995771991
81,5830,1030,582,1612,0,1,1,3,1,7,1950,1997,363.0,Pave,167839.376779276
82,7793,1160,908,2068,0,1,1,3,1,8,1922,2005,315.0,Pave,173912.421165137
83,5000,765,0,765,0,1,0,2,1,4,1925,1950,200.0,Pave,154034.917445551
84,6000,608,524,1132,0,1,0,2,1,5,1939,1950,240.0,Pave,156002.955794336
85,6000,848,348,1196,0,1,1,3,1,6,1940,1950,576.0,Pave,168173.94329857
86,6360,955,498,1453,0,1,1,3,1,7,1942,1950,240.0,Pave,168882.437104132
87,6000,780,636,1416,0,1,1,3,1,6,1948,1950,312.0,Pave,168173.94329857
88,6240,548,492,1040,0,1,0,2,1,5,1936,1980,624.0,Pave,157580.177551642
89,6240,928,608,1536,10,2,0,4,1,7,1930,1950,480.0,Pave,181922.15256011
90,6120,1068,0,1068,0,1,0,2,1,5,1923,1950,288.0,Pave,155134.227842592
91,8094,888,1074,1962,0,1,1,4,1,9,1915,1950,572.0,Pave,188885.573319552
92,12900,780,780,1560,0,1,1,3,1,7,1912,2009,0.0,Pave,183963.193012381
93,3068,662,662,1324,0,1,0,3,1,6,1920,1993,180.0,Pave,161298.762306335
94,15263,1675,0,1675,132,2,0,3,1,8,1959,1959,365.0,Pave,188613.66763056
95,10632,725,499,1224,0,1,1,3,1,6,1917,1950,180.0,Pave,175080.111822945
96,9900,1212,180,1392,0,1,0,3,1,6,1915,1950,0.0,Pave,174744.400305232
97,6001,600,319,919,0,1,0,3,1,5,1940,1950,231.0,Pave,168175.911336919
98,6449,942,942,1884,0,1,1,4,1,7,1907,1950,0.0,Pave,182333.472575006
99,6048,936,744,1680,144,2,0,2,2,7,1910,1950,450.0,Pave,158307.206742274
100,10773,1832,0,1832,58,2,0,4,2,8,1967,1967,0.0,Pave,193053.055502348
101,7800,892,0,892,0,1,0,3,1,5,1966,2008,416.0,Pave,175031.089987177
102,7832,864,0,864,0,1,0,2,1,4,1968,1968,280.0,Pave,160713.294602908
103,7424,1373,0,1373,0,1,0,3,1,5,1978,1978,591.0,Pave,173186.215014436
104,11227,720,720,1440,38,1,1,4,1,7,1968,1968,480.0,Pave,191736.7598055
105,20062,1483,0,1483,0,1,1,1,1,4,1977,2001,690.0,Pave,170401.630997116
106,9259,756,0,756,0,1,0,2,1,4,1927,1950,440.0,Pave,164626.577880222
107,17082,1117,864,1981,104,2,1,4,1,8,1978,1992,522.0,Pave,205469.409444832
108,18600,1052,558,1610,0,2,0,4,1,8,1938,1990,480.0,Pave,209561.784211885
109,11479,1074,0,1074,52,1,0,3,1,6,1950,1987,467.0,Pave,182271.503072356
110,9350,1169,0,1531,0,1,0,3,1,8,1947,1979,209.0,Pave,178081.549427793
111,9525,1172,0,1172,0,1,0,3,1,5,1954,1998,366.0,Pave,178425.956138831
112,17485,1508,0,1508,0,1,0,1,1,5,2009,2010,572.0,Pave,162015.318511503
113,11200,1298,0,1298,144,2,0,3,1,5,1964,1964,504.0,Pave,181722.420373045
114,11980,1433,0,1433,278,1,1,1,1,4,1987,1987,528.0,Pave,156705.730169433
115,12361,964,838,1802,92,2,1,3,1,8,1993,1993,1017.0,Pave,182902.420342386
116,7360,1222,0,1222,54,2,0,2,1,6,2010,2010,615.0,Pave,157574.595395085
117,14235,831,614,1445,59,2,0,3,1,6,1900,1993,484.0,Pave,184380.739100813
118,11105,965,0,965,0,1,0,2,1,4,1996,1996,580.0,Pave,169364.469225677
119,9337,892,800,1692,39,2,1,3,1,8,1997,1998,513.0,Pave,175846.179822063
120,15240,1026,0,1026,85,1,1,3,1,5,1977,2004,308.0,Pave,189673.295302136
121,7480,876,0,876,0,1,0,3,1,5,1972,1972,484.0,Pave,174401.317715566
122,10389,1978,0,1978,25,2,1,3,1,8,2003,2003,850.0,Pave,179021.448718583
123,9375,1044,1054,2098,38,2,1,4,1,9,1997,1997,621.0,Pave,189196.845337149
124,4435,848,0,848,0,1,0,1,1,4,2003,2003,420.0,Pave,139647.095720655
125,8777,640,0,640,0,1,0,2,1,5,1945,2007,240.0,Pave,161468.198288911
126,8842,992,0,992,0,1,0,3,1,6,1954,1954,319.0,Pave,171557.32317862
127,10044,1196,0,1196,0,1,0,3,1,6,1968,1968,336.0,Pave,179447.36804185
128,11792,792,328,1120,0,1,0,2,1,5,1948,1950,480.0,Pave,169611.619017694
129,6305,1096,0,1096,0,1,0,3,1,5,1975,1975,352.0,Pave,172088.872655744
130,6410,960,0,960,0,1,0,3,1,5,1958,1958,0.0,Pave,171190.624128768
131,4853,1296,0,1296,0,2,0,2,1,5,1924,1999,260.0,Pave,154850.508361878
132,7890,856,0,856,0,1,0,2,1,4,1939,1950,399.0,Pave,158617.655719941
133,7200,862,1788,2650,0,3,0,6,2,10,1967,1967,0.0,Pave,209258.33693701
134,9839,894,772,1666,156,1,0,3,1,7,1931,1950,0.0,Pave,177939.027626751
135,10452,1225,908,2133,0,1,1,4,1,8,1941,1985,312.0,Pave,194631.100299584
136,15600,1102,1075,2177,0,2,1,5,2,11,1950,1991,484.0,Pave,213618.871562568
137,19645,896,756,1652,0,2,1,3,1,6,1994,2007,473.0,Pave,198342.504228533
138,3907,1034,0,1034,36,1,0,1,1,4,1989,1989,598.0,Pave,138607.971472497
139,3907,1191,0,1191,81,2,0,2,1,5,1989,1989,531.0,Pave,150778.958976731
140,8154,540,0,540,0,1,0,1,1,4,1941,1950,200.0,Pave,146966.230339786
141,9140,727,380,1107,56,1,0,2,1,5,1921,1975,625.0,Pave,162182.59620952
142,8712,952,0,952,0,1,0,3,1,5,1896,1950,330.0,Grvl,176825.940961269
143,3811,1646,0,1646,53,2,0,2,1,5,2004,2005,525.0,Pave,152799.812402444
144,11050,1036,880,1916,70,2,1,3,1,8,1998,1999,741.0,Pave,180322.322067129
145,9620,1285,0,1285,26,2,0,3,1,6,1977,1977,473.0,Pave,177508.027228367
146,12760,2048,0,2048,0,3,0,5,2,9,1976,1976,776.0,Pave,208029.642652019
147,11896,1346,0,1346,48,2,0,3,1,6,2008,2008,660.0,Pave,181987.282510201
148,9803,1214,0,1214,25,2,0,2,1,6,2009,2010,520.0,Pave,160172.72797397
149,9802,744,700,1444,0,2,1,3,1,7,2006,2007,400.0,Pave,176761.317654248
150,15300,1264,0,1264,0,1,0,2,1,7,1965,1977,528.0,Pave,176515.497545231
151,10114,1430,0,1430,0,2,0,3,1,7,2004,2005,624.0,Pave,176270.453065471
152,11875,1344,0,1344,0,2,0,3,1,7,1999,1999,686.0,Pave,183050.846258475
153,2394,945,0,945,0,1,0,2,1,5,1973,1973,253.0,Pave,150011.102062216
154,1476,546,546,1092,26,1,1,3,1,5,1970,1970,0.0,Pave,159270.537808667
155,1900,546,546,1092,0,1,1,3,1,5,1970,1970,0.0,Pave,163419.663729346
156,1890,546,546,1092,0,1,1,3,1,5,1972,1972,286.0,Pave,163399.983345859
157,6953,874,0,874,0,1,0,3,1,5,1971,2004,352.0,Pave,173364.161505756
158,12887,833,0,833,0,1,0,2,1,5,1984,1984,495.0,Pave,169556.835902417
159,7700,1216,1216,2432,0,4,2,4,2,10,1985,1986,616.0,Pave,183690.595995738
160,10475,624,650,1274,0,1,1,3,1,6,1991,1991,576.0,Pave,176980.914909382
161,10544,864,615,1479,0,2,0,5,1,8,1969,1969,275.0,Pave,204773.36222471
162,9892,1803,0,1803,64,2,1,3,1,6,1994,1995,482.0,Pave,174728.655998442
163,12961,1152,645,1797,312,2,1,3,1,7,1993,1994,616.0,Pave,181873.458244461
164,13008,882,0,882,0,1,0,2,1,5,1956,1956,502.0,Pave,177322.000823979
165,10200,1434,0,1434,21,2,0,4,1,7,1974,1974,528.0,Pave,193927.939041863
166,10179,945,663,1608,30,2,1,3,1,7,1997,1997,470.0,Pave,181715.622732304
167,11792,1008,1275,2283,46,2,1,4,1,9,2003,2003,632.0,Pave,199270.841200324
168,8400,958,670,1628,72,2,1,3,1,7,1996,1997,390.0,Pave,177109.589956218
169,7296,2522,0,2522,57,2,0,1,1,8,2004,2005,564.0,Pave,153909.578271486
170,7380,1478,0,1478,43,2,0,2,1,5,1998,1998,495.0,Pave,162931.203336223
171,8013,1734,0,1734,50,2,0,2,1,6,1995,1996,528.0,Pave,166386.7567182
172,8923,751,631,1382,0,2,1,3,1,7,1998,1998,396.0,Pave,173719.30379824
173,7500,952,684,1636,84,2,1,3,1,7,1998,1999,440.0,Pave,179757.925656704
174,8803,707,809,1516,46,2,1,3,1,7,1994,1995,409.0,Pave,179007.601964376
175,7250,1190,0,1190,21,2,0,3,1,6,1993,1993,430.0,Pave,180370.808623106
176,11900,946,988,1934,176,2,1,3,1,6,1977,1977,567.0,Pave,185102.616730563
177,13250,1154,896,2050,192,2,1,4,1,8,1978,1978,529.0,Pave,198825.563452058
178,10928,1671,0,1671,55,2,0,3,1,7,1978,1986,484.0,Pave,184294.576009142
179,12388,1539,1134,2673,84,2,1,4,1,9,1980,1991,441.0,Pave,200443.7920562
180,11088,1707,0,1707,0,2,0,3,1,7,1978,1998,479.0,Pave,181294.784484153
181,7000,1016,868,1884,35,2,1,3,1,7,2003,2003,581.0,Pave,174354.336267919
182,7500,1058,816,1874,134,2,1,3,1,7,2000,2001,588.0,Pave,172023.677781517
183,8470,972,839,1811,48,2,1,3,1,7,2002,2002,565.0,Pave,181666.922855025
184,9373,1621,0,1621,0,2,0,3,1,7,1975,1975,478.0,Pave,179024.491269586
185,10140,1116,0,1116,0,2,0,3,1,6,1974,1974,528.0,Pave,178324.191575907
186,11050,1193,0,1193,0,2,0,3,1,5,1975,1975,506.0,Pave,184534.676687694
187,7830,1180,0,1180,45,1,1,2,1,6,1970,1970,477.0,Pave,159397.250378784
188,8510,1050,0,1050,0,1,1,3,1,6,1971,1971,336.0,Pave,178430.966728182
189,7038,864,0,864,0,1,0,3,1,5,1970,1970,576.0,Pave,177743.799385967
190,9000,864,0,864,0,1,0,3,1,5,1971,2006,576.0,Pave,179395.305519087
191,1680,483,504,987,0,1,1,2,1,5,1973,1973,264.0,Pave,151713.38474815
192,1680,483,504,987,0,1,1,2,1,5,1972,1972,288.0,Pave,151713.38474815
193,2308,804,744,1548,0,2,1,3,1,7,1976,1976,440.0,Pave,168434.977996215
194,2280,1055,0,1055,27,2,0,2,1,4,1975,1975,440.0,Pave,153999.100311019
195,2349,855,601,1456,28,2,1,3,1,6,1977,1977,440.0,Pave,164096.097354123
196,2364,804,744,1548,0,2,1,3,1,7,1978,1978,440.0,Pave,166335.403036551
197,2364,855,601,1456,0,2,1,3,1,6,1978,1978,440.0,Pave,163020.725375757
198,2104,836,0,836,20,1,0,2,1,5,1976,1976,345.0,Pave,155862.510668829
199,10710,1120,0,1120,162,1,0,3,1,5,1966,2004,656.0,Pave,182760.651095509
200,14257,1794,978,2772,64,3,1,4,1,10,2007,2007,754.0,Pave,201912.270622883
201,12350,1365,1325,2690,197,2,1,3,1,8,2009,2009,864.0,Pave,185988.233987516
202,12350,2020,0,2020,98,2,0,3,1,7,2008,2008,896.0,Pave,183778.44888032
203,13693,2674,0,2674,50,2,1,2,1,8,2007,2007,762.0,Pave,170935.85921771
204,11578,1736,0,1736,90,2,0,3,1,7,2008,2008,834.0,Pave,184468.908382254
205,16870,1782,0,1782,82,2,0,3,1,7,2004,2005,932.0,Pave,191569.089663229
207,10367,1743,0,1743,45,2,0,3,1,8,2008,2008,927.0,Pave,180980.721388278
208,10872,1531,0,1531,52,2,0,2,1,6,2006,2006,700.0,Pave,164279.13048219
209,13514,1808,0,1808,26,2,0,3,1,7,2008,2008,850.0,Pave,183859.460411109
210,12878,1760,0,1760,190,2,0,3,1,8,2003,2004,583.0,Pave,185922.465682076
211,15274,2452,0,2452,116,2,0,3,1,10,2003,2003,886.0,Pave,191742.778119363
212,13262,1105,1295,2400,40,3,1,4,1,10,2003,2004,730.0,Pave,199954.072465842
213,9658,1606,0,1606,60,2,0,3,1,6,2006,2006,871.0,Pave,180690.274752587
214,6904,1358,0,1358,36,2,0,2,1,6,2005,2005,484.0,Pave,163099.3096358
215,5122,1306,0,1306,63,2,0,1,1,5,2005,2005,624.0,Pave,140791.922472443
216,10307,1358,0,1358,26,2,0,2,1,6,2007,2008,484.0,Pave,166481.86647592
217,14836,2492,0,2492,235,2,1,2,1,8,2004,2005,949.0,Pave,172080.434496773
218,15262,2200,0,2200,55,2,1,3,1,8,2003,2004,685.0,Pave,191719.161659178
219,7390,1884,0,1884,90,2,0,2,1,6,2008,2009,649.0,Pave,160741.098612515
220,6472,1456,0,1456,42,2,0,2,1,6,2008,2008,539.0,Pave,157829.546854733
221,16770,1712,0,1712,183,2,0,3,1,8,2002,2003,701.0,Pave,196896.748596341
222,3480,1405,0,1405,36,2,0,2,1,6,2003,2003,478.0,Pave,159675.423990355
223,10928,728,728,1456,0,2,1,3,1,8,2005,2005,390.0,Pave,182084.790901946
224,8918,745,745,1490,20,2,1,3,1,7,2005,2006,392.0,Pave,179233.926374487
225,3182,1220,0,1220,16,2,0,2,1,5,2005,2006,397.0,Pave,155774.270901623
226,9434,744,630,1374,0,2,1,3,1,6,2004,2005,400.0,Pave,181354.326716058
227,7984,868,762,1630,48,2,1,3,1,7,2004,2005,436.0,Pave,179605.563663918
228,10125,846,748,1594,48,2,1,3,1,7,2004,2004,434.0,Pave,181609.34866147
229,8965,806,683,1489,75,2,1,3,1,8,2003,2003,400.0,Pave,178221.531623281
230,8174,698,644,1342,56,2,1,3,1,7,2003,2003,393.0,Pave,175559.920735795
231,12891,878,1126,2004,48,2,1,4,1,8,2002,2002,644.0,Pave,200328.822792041
232,9734,744,630,1374,0,2,1,3,1,7,2004,2004,400.0,Pave,178630.060559899
233,8433,819,695,1514,72,2,1,3,1,7,2000,2000,394.0,Pave,177174.535221728
234,7750,774,656,1430,0,2,1,3,1,7,1999,2000,400.0,Pave,172515.687368714
235,15896,1223,1089,2312,0,2,1,4,1,8,1999,1999,658.0,Pave,204032.992922943
236,7848,774,656,1430,0,2,1,3,1,7,1999,1999,410.0,Pave,176023.232787689
237,12720,1466,1221,2687,30,2,1,4,1,10,2000,2000,810.0,Pave,202202.073341595
238,10750,2063,0,2063,56,2,0,3,1,7,1994,1995,815.0,Pave,181734.480075862
239,9085,1094,967,2061,102,2,1,3,1,7,1995,1996,647.0,Pave,183982.158993126
240,11692,1215,1017,2232,165,2,1,3,1,8,1993,1994,623.0,Pave,188007.94241481
241,11194,1696,0,1696,56,2,0,3,1,7,2008,2008,972.0,Pave,185922.966763517
242,10206,1658,0,1658,44,2,1,3,1,7,2008,2008,726.0,Pave,183978.544874918
243,10130,1702,0,1702,69,2,0,3,1,7,2007,2007,844.0,Pave,177199.618638821
244,9139,1432,0,1432,50,2,0,3,1,7,2006,2006,492.0,Pave,181878.647956764
245,11128,2490,0,2490,226,2,0,2,1,9,2005,2006,795.0,Pave,173622.088728263
246,7993,1436,0,1436,121,2,0,3,1,6,2008,2009,529.0,Pave,180728.168562655
247,8640,1402,0,1402,126,2,0,3,1,7,2008,2008,625.0,Pave,176477.026606328
248,12606,1530,0,1530,136,2,0,3,1,7,2007,2008,984.0,Pave,184282.266697609
249,7500,1448,0,1448,140,2,0,2,1,6,2006,2007,692.0,Pave,162062.47538448
250,10603,909,886,1795,45,2,1,3,1,8,2006,2006,782.0,Pave,182550.070992189
251,8125,1836,0,1836,175,2,0,3,1,8,2008,2009,517.0,Pave,180987.949624695
252,10625,1662,0,1662,120,2,0,3,1,8,2006,2007,711.0,Pave,178173.79762147
253,8736,1553,0,1553,88,2,0,3,1,6,2003,2004,588.0,Pave,179980.635948606
254,8127,812,841,1653,45,2,1,3,1,6,2003,2003,628.0,Pave,173257.637826205
255,9605,1218,0,1218,178,1,1,3,1,6,2007,2007,576.0,Pave,177271.291059307
256,7500,1141,0,1141,0,1,1,3,1,6,2006,2006,484.0,Pave,175338.355442312
257,7500,1158,0,1158,50,1,1,3,1,5,2004,2004,0.0,Pave,177548.140549508
258,10628,871,941,1812,91,2,1,3,1,8,2004,2004,478.0,Pave,175969.91662932
259,10141,1512,0,1512,36,2,0,3,1,6,2004,2004,845.0,Pave,175011.481953462
260,13072,1114,0,1114,102,1,1,3,1,6,2004,2005,576.0,Pave,185199.372568143
261,13072,1114,0,1114,39,1,1,3,1,6,2004,2004,0.0,Pave,188514.050228937
262,12450,1114,0,1114,42,2,0,3,1,6,2003,2004,576.0,Pave,185080.145268797
263,7328,1450,0,1450,93,2,0,2,1,6,2008,2009,788.0,Pave,157304.402574096
264,11492,913,1209,2122,74,2,1,4,1,8,1996,1997,559.0,Pave,194260.859481297
265,7703,833,897,1730,91,2,1,3,1,6,1992,1992,528.0,Pave,181262.329995106
266,7175,1332,0,1332,60,2,0,2,1,5,1990,1991,542.0,Pave,157003.292706732
267,9109,754,786,1540,32,2,1,3,1,6,1994,1994,495.0,Pave,182924.499359899
268,10274,698,702,1400,48,2,1,3,1,6,1986,1986,465.0,Pave,181902.586375439
269,8250,964,918,1882,0,2,0,4,2,8,1981,1981,612.0,Pave,188985.371708134
270,9750,980,0,980,28,1,0,3,1,5,1962,1962,400.0,Pave,185290.904495068
271,8499,864,0,864,312,1,0,3,1,5,1961,1961,732.0,Pave,177304.425752748
272,9079,864,0,864,0,1,0,2,1,5,1961,1961,440.0,Pave,166274.900490809
273,9316,1020,0,1020,0,2,0,3,1,5,1965,1965,288.0,Pave,177807.420530107
274,7791,912,0,912,0,1,0,3,1,6,1963,1995,300.0,Pave,180330.624816201
275,7150,912,0,912,0,1,0,3,1,6,1962,1962,252.0,Pave,179069.112234629
276,15676,2014,0,2014,0,2,0,2,1,6,1980,1980,864.0,Pave,175943.371816948
277,11949,975,780,1755,60,2,1,3,1,7,1991,2008,524.0,Pave,185199.050609653
278,2880,1376,1629,3005,177,2,1,3,1,9,2004,2005,704.0,Pave,167350.910824524
279,3830,1726,0,1726,254,2,1,2,1,6,2008,2008,561.0,Pave,149315.311876449
280,4217,1256,0,1256,169,1,1,1,1,5,2008,2008,641.0,Pave,139010.847766793
281,2998,756,756,1512,32,2,1,2,1,4,2000,2000,440.0,Pave,155412.151845447
282,3768,713,739,1452,34,2,1,3,1,6,1999,1999,506.0,Pave,171308.313985441
283,14694,1694,0,1694,120,2,0,2,1,5,1977,2008,642.0,Pave,176220.543265638
284,15417,1740,0,1740,20,1,1,2,1,7,1981,1981,540.0,Pave,177643.434991809
285,9600,1487,1012,2499,64,2,1,4,1,5,1976,1976,527.0,Pave,187222.653264601
286,12732,1285,782,2067,40,2,1,3,1,7,1974,1974,784.0,Pave,185635.132083154
287,10400,1271,1369,2640,120,2,1,5,1,8,1967,1997,515.0,Pave,206492.534215854
288,9600,1336,0,1336,11,2,0,3,1,6,1969,1969,502.0,Pave,181681.021081956
289,9000,1216,0,1216,0,1,0,3,1,5,1969,1969,336.0,Pave,180500.198072685
290,13774,1316,972,2288,72,1,2,4,1,8,1977,1992,520.0,Pave,206486.17086841
291,7130,864,0,864,0,1,0,2,1,5,1967,1967,312.0,Pave,161334.301195429
292,9600,1568,0,1568,40,1,1,3,1,7,1967,1967,440.0,Pave,176156.558313965
293,9600,1165,896,2061,77,2,1,4,1,8,1974,1974,498.0,Pave,191642.223478994
294,16500,1320,0,1320,20,2,0,3,1,5,1971,1971,495.0,Pave,191945.808027777
295,7436,894,0,894,0,1,0,2,1,5,1960,1960,396.0,Pave,164146.306037354
296,8125,864,0,864,0,1,0,3,1,5,1959,1959,308.0,Pave,179883.057071096
297,9450,1362,0,1362,0,1,0,3,1,6,1957,1957,768.0,Pave,178071.137668844
298,13495,1728,0,1728,99,2,0,3,1,7,1956,1956,576.0,Pave,188241.637896875
299,9350,1313,0,1313,28,1,1,3,1,6,1961,1995,610.0,Pave,174559.656173171
300,10500,1292,0,1292,32,1,1,3,1,6,1964,1964,520.0,Pave,182347.363042264
301,8970,825,1315,2140,40,2,1,4,1,7,1965,1965,549.0,Pave,191507.251872857
302,11475,1576,0,1576,0,1,0,4,1,7,1961,1961,368.0,Pave,199751.865597358
